ObjectID,DisplayX,DisplayY,Address,City,Region,Postal,ID,EventDate,Address2,Primary NAICS,Hospitalized,Amputation,Inspection,Final Narrative,Nature,NatureTitle,Part of Body,Part of Body Title,Event,EventTitle,Source,SourceTitle,Secondary Source,Secondary Source Title,Industry SubSector
1,-71.74135,42.236126,14 Valente Dr,WORCESTER,MASSACHUSETTS,1604,2015107297,2015-10-01,,221114,1,0,1096424,"An employee fell approximately 25 feet from the second-story roof of a residence where he was installing solar panels. He fractured his feet, ankles, legs, and wrist and suffered a spinal injury when he hit the ground. He required surgery.",1832,"Fractures (except rib, trunk fractures) and internal injuries ",899,"Multiple body parts, n.e.c.",4335,Other fall to lower level 21 to 25 feet ,6540,"Roofs, unspecified",,,Solar Electric Power Generation
2,-71.797015,42.232911,Falmouth Street,WORCESTER,MASSACHUSETTS,1610,2015074920,2015-07-21,,221122,1,0,1080491,"On or about July 21, 2015, an employee was working out of a bucket truck. At 5:45 p.m., he lost consciousness. He was hospitalized overnight for heat stress.",1720,"Effects of heat and light, unspecified",6,BODY SYSTEMS,531,Exposure to environmental heat,9262,Heat-environmental,,,Electric Power Distribution
3,-71.526083,42.287041,157 Cordaville Rd,SOUTHBOROUGH,MASSACHUSETTS,1745,2015010868,2015-01-27,,221122,1,0,,"On 1/27/15, an employee was admitted to the hospital with a fractured skull after falling on ice in the company parking lot.",111,Fractures,113,Skull,422,Fall on same level due to slipping ,6660,"Parking lot, unspecified",9273,"Ice, sleet, snow",Electric Power Distribution
4,-71.452771,42.11061,155 Maple Street,BELLINGHAM,MASSACHUSETTS,2019,2016033557,2016-03-05,,221112,1,0,,An employee suffered a broken right hip and was hospitalized.,111,Fractures,341,Hip(s),4212,Fall on same level due to tripping on uneven surface,6629,"Floor, n.e.c.",6622,Floor irregularity,Fossil Fuel Electric Power Generation
5,-70.968101,42.22266,39 Quincy Avenue,BRAINTREE,MASSACHUSETTS,2184,2015041754,2015-04-04,,221210,1,0,,An employee was injured and hospitalized when she fell from a 10-foot step ladder.,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4332,Other fall to lower level 6 to 10 feet,7422,Step ladders,,,Natural Gas Distribution
6,-71.186278,42.352546,Intersection of Lyman Street/Centre Street,NEWTON,MASSACHUSETTS,2458,2015053245,2015-05-28,,221112,1,0,,"An employee was inspecting a manhole vault at the intersection of Lyman Street and Centre Street in Newton, Massachusetts. As he transitioned from an extension ladder to the ground level, he fell approximately 11 feet, 7 inches, back into the manhole vault, breaking his right ankle and requiring hospitalization.",111,Fractures,52,Ankle(s),4333,Other fall to lower level 11 to 15 feet ,7421,Extension ladders,,,Fossil Fuel Electric Power Generation
7,-72.341699,43.373186,11 C Side Crescent Lake,CLAREMONT,NEW HAMPSHIRE,3743,2016043265,2016-04-19,,221210,1,0,1144511,"After responding to an out-of-gas call, an employee was attempting to light a gas-fired log set (fireplace) for the customer when a propane flash fire occurred. He suffered burns to his hands and face, with possible respiratory burns.",1520,"Heat (thermal) burns, unspecified",899,"Multiple body parts, n.e.c.",317,"Ignition of vapors, gases, or liquids",1643,Propane,,,Natural Gas Distribution
8,-71.208646,43.58482,Abenaki Ski Area,WOLFEBORO,NEW HAMPSHIRE,3894,2015041975,2015-04-13,390 Pine Hill Rd.,221122,1,0,1055234,"Two employees were removing service wire that had been de-energized (energy source to street lights in preparation for demolition work for a new ski lodge). The injured employee climbed a utility pole; when he cut the line, it changed the balance of the pole (strain on pole) and caused it to break off at ground level. The employee fell approximately 22 to 25 feet to the ground. He was hospitalized.",10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4315,Fall from collapsing structure or equipment 21 to 25 feet ,6352,Utility and telephone poles,4415,"Power lines, transformers, convertors",Electric Power Distribution
9,-72.633091,41.930232,Windsor Locks Substation,WINDSOR LOCKS,CONNECTICUT,6096,2016054438,2016-05-20,8 South Street,221118,1,0,,"On Friday, May 20, 2016, an employee was testing personal protective equipment when he strained/sprained his back. He was hospitalized.",1230,"Sprains, strains, tears, unspecified",320,"Back, including spine, spinal cord, unspecified",70,"Overexertion and bodily reaction, unspecified",562,"Bodily motion or position of injured, ill worker",770,"Protective equipment, except clothing, unspecified",Other Electric Power Generation
10,-73.254491,41.18257,2315 Black Rock Turnpike,FAIRFIELD,CONNECTICUT,6825,2015074591,2015-07-13,,221121,1,0,,Employee received electrical shock and burns while working on a 7K distribution panel.,1530,"Electrical burns, unspecified",9999,Nonclassifiable,5112,"Direct exposure to electricity, greater than 220 volts",4417,"Switchboards, switches, fuses",,,Electric Bulk Power Transmission and Control
